SampleID	Nkx_group	Mitosis_Group	CellOrigin
BU3_C10	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C11	No_or_Low NKX2-1 Cells	Mitotic	BU3
BU3_C12	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C13	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C14	High NKX2-1 Cells	Mitotic	BU3
BU3_C15	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C16	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C17	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C18	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C19	High NKX2-1 Cells	Mitotic	BU3
BU3_C2	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C20	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C21	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C22	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C23	No_or_Low NKX2-1 Cells	Part_mitotic	BU3
BU3_C24	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C25	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C26	No_or_Low NKX2-1 Cells	Mitotic	BU3
BU3_C29	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C3	High NKX2-1 Cells	Mitotic	BU3
BU3_C30	High NKX2-1 Cells	Mitotic	BU3
BU3_C31	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C32	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C34	No_or_Low NKX2-1 Cells	Mitotic	BU3
BU3_C35	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C36	High NKX2-1 Cells	Mitotic	BU3
BU3_C37	High NKX2-1 Cells	Mitotic	BU3
BU3_C38	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C39	No_or_Low NKX2-1 Cells	Part_mitotic	BU3
BU3_C4	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C40	No_or_Low NKX2-1 Cells	Mitotic	BU3
BU3_C41	High NKX2-1 Cells	Mitotic	BU3
BU3_C42	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C43	High NKX2-1 Cells	Mitotic	BU3
BU3_C44	No_or_Low NKX2-1 Cells	Mitotic	BU3
BU3_C45	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C46	High NKX2-1 Cells	Mitotic	BU3
BU3_C47	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C48	High NKX2-1 Cells	Mitotic	BU3
BU3_C49	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C50	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C51	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C52	No_or_Low NKX2-1 Cells	Mitotic	BU3
BU3_C53	High NKX2-1 Cells	Mitotic	BU3
BU3_C55	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C56	High NKX2-1 Cells	Mitotic	BU3
BU3_C57	High NKX2-1 Cells	Mitotic	BU3
BU3_C58	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C59	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C6	No_or_Low NKX2-1 Cells	Part_mitotic	BU3
BU3_C60	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C61	High NKX2-1 Cells	Mitotic	BU3
BU3_C63	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C64	High NKX2-1 Cells	Mitotic	BU3
BU3_C65	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C66	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C67	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C68	No_or_Low NKX2-1 Cells	Mitotic	BU3
BU3_C69	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C7	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C70	High NKX2-1 Cells	Mitotic	BU3
BU3_C71	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C73	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C74	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C75	High NKX2-1 Cells	Mitotic	BU3
BU3_C76	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C77	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C78	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C8	No_or_Low NKX2-1 Cells	Mitotic	BU3
BU3_C80	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C81	High NKX2-1 Cells	Mitotic	BU3
BU3_C84	High NKX2-1 Cells	Part_mitotic	BU3
BU3_C85	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C86	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C87	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C9	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C92	High NKX2-1 Cells	Non_mitotic	BU3
BU3_C93	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C95	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
BU3_C96	No_or_Low NKX2-1 Cells	Non_mitotic	BU3
ips17_C1	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C10	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C11	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C12	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C13	High NKX2-1 Cells	Part_mitotic	ips17
ips17_C14	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C15	No_or_Low NKX2-1 Cells	Part_mitotic	ips17
ips17_C16	High NKX2-1 Cells	Part_mitotic	ips17
ips17_C18	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C19	High NKX2-1 Cells	Part_mitotic	ips17
ips17_C2	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C20	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C21	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C22	High NKX2-1 Cells	Part_mitotic	ips17
ips17_C23	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C24	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C25	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C26	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C27	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C28	High NKX2-1 Cells	Mitotic	ips17
ips17_C3	No_or_Low NKX2-1 Cells	Mitotic	ips17
ips17_C30	High NKX2-1 Cells	Mitotic	ips17
ips17_C31	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C32	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C33	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C34	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C35	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C36	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C37	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C38	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C39	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C4	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C41	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C42	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C43	High NKX2-1 Cells	Non_mitotic	ips17
