	GeneID	GroupID	Vs	adjusted_pvalue
0	APOA2	kmeans_0	kmeans_1	1.881794884163292e-21
1	COL19A1	kmeans_0	kmeans_1	5.722403727313312e-18
2	MSX1	kmeans_0	kmeans_1	4.8580602324823946e-14
3	S100A10	kmeans_0	kmeans_1	1.3973279404713799e-12
4	PRDM1	kmeans_0	kmeans_1	2.1314040655938614e-11
5	FGB	kmeans_0	kmeans_1	2.1314040655938614e-11
6	PCAT14	kmeans_0	kmeans_1	2.575093896466435e-10
7	SLC1A3	kmeans_0	kmeans_1	3.760096435625691e-10
8	FAM65B	kmeans_0	kmeans_1	1.7150180513346594e-09
9	PMEL	kmeans_0	kmeans_1	7.35967142800802e-09
10	FBLN2	kmeans_0	kmeans_1	4.135492754402525e-08
11	FLRT3	kmeans_0	kmeans_1	5.361213116125302e-08
12	DSC2	kmeans_0	kmeans_1	5.8368877695769395e-08
13	PODXL	kmeans_0	kmeans_1	6.023821503317705e-08
14	SEMA6A	kmeans_0	kmeans_1	1.2128819260309392e-07
15	KITLG	kmeans_0	kmeans_1	1.240823546657318e-07
16	FN1	kmeans_0	kmeans_1	1.303672720919223e-07
17	ZFP36L2	kmeans_0	kmeans_1	1.838773156937675e-07
18	SGK1	kmeans_0	kmeans_1	2.7155097436445255e-07
19	SOX17	kmeans_0	kmeans_1	6.091867826285157e-07
20	NKX2-1	kmeans_0	kmeans_1	1.455505456638744e-15
21	CD47	kmeans_0	kmeans_1	2.1189329620221685e-12
22	SFTA3	kmeans_0	kmeans_1	1.0818517745206833e-09
23	LAMA3	kmeans_0	kmeans_1	1.9197235102793197e-07
24	CRABP2	kmeans_0	kmeans_1	3.53929691270292e-06
25	SOX9	kmeans_0	kmeans_1	1.554451916350339e-05
26	IFT57	kmeans_0	kmeans_1	3.933273797080909e-05
27	ADGRG6	kmeans_0	kmeans_1	6.08692080615348e-05
28	IGFBP5	kmeans_0	kmeans_1	8.191824211330809e-05
29	LMO7	kmeans_0	kmeans_1	0.000138564742709975
30	ULBP1	kmeans_0	kmeans_1	0.0003593323689617807
31	HMGA2	kmeans_0	kmeans_1	0.00037825171533273675
32	ETV1	kmeans_0	kmeans_1	0.00047834707795325437
33	RAET1K	kmeans_0	kmeans_1	0.0005787217232910675
34	TPPP3	kmeans_0	kmeans_1	0.0007027264915198453
35	FAM189A2	kmeans_0	kmeans_1	0.0010129647669961358
36	MBNL1	kmeans_0	kmeans_1	0.0019601449313592753
37	CDK6	kmeans_0	kmeans_1	0.0024803243423056455
38	GRB14	kmeans_0	kmeans_1	0.0024978300320473617
39	ANKRD29	kmeans_0	kmeans_1	0.0025684200291814924
