	GeneID	adjusted_pvalue	fold_change	GroupID	Vs
0	APOA2	2.03E-22	3.80604345	kmeans_0	kmeans_1
1	MSX1	2.85E-16	3.22203531	kmeans_0	kmeans_1
2	COL19A1	2.50E-15	3.835171388	kmeans_0	kmeans_1
0	CD47	2.52E-14	1.377615809	kmeans_1	kmeans_0
3	FGB	2.69E-13	3.76185517	kmeans_0	kmeans_1
4	PRDM1	8.69E-13	2.82640035	kmeans_0	kmeans_1
5	FAM65B	1.30E-12	2.771640027	kmeans_0	kmeans_1
6	SGK1	3.07E-12	3.113421755	kmeans_0	kmeans_1
7	PCAT14	5.90E-12	1.804695516	kmeans_0	kmeans_1
8	PMEL	2.71E-11	3.147777273	kmeans_0	kmeans_1
9	SOX17	6.83E-11	2.909976761	kmeans_0	kmeans_1
10	KITLG	1.41E-10	2.050133734	kmeans_0	kmeans_1
1	NKX2-1	1.59E-10	2.196346781	kmeans_1	kmeans_0
12	SLC1A3	1.59E-10	2.531872287	kmeans_0	kmeans_1
11	FLRT3	1.59E-10	3.08974592	kmeans_0	kmeans_1
13	DSC2	1.67E-10	2.181969156	kmeans_0	kmeans_1
14	SEMA6A	3.64E-10	2.057643132	kmeans_0	kmeans_1
15	FN1	5.95E-10	1.670461172	kmeans_0	kmeans_1
16	ITLN2	8.72E-10	3.217681722	kmeans_0	kmeans_1
17	PODXL	2.17E-09	2.101999281	kmeans_0	kmeans_1
18	FBLN2	3.35E-09	2.675036928	kmeans_0	kmeans_1
2	IGFBP5	9.56E-09	2.028345389	kmeans_1	kmeans_0
19	CTSV	9.56E-09	1.925655222	kmeans_0	kmeans_1
20	S100A10	1.69E-08	2.051944226	kmeans_0	kmeans_1
21	LRRN1	1.97E-08	2.020247721	kmeans_0	kmeans_1
22	FGFR1	4.79E-08	1.922842433	kmeans_0	kmeans_1
23	CDH2	9.66E-08	1.499349889	kmeans_0	kmeans_1
24	SERPINB9	1.50E-07	1.572865235	kmeans_0	kmeans_1
3	CPM	1.67E-07	1.340365274	kmeans_1	kmeans_0
25	ZFP36L2	3.44E-07	1.521452895	kmeans_0	kmeans_1
26	MTRNR2L1	9.78E-07	1.693730081	kmeans_0	kmeans_1
27	PCDH15	1.06E-06	2.851118114	kmeans_0	kmeans_1
28	PSPH	1.28E-06	1.563754307	kmeans_0	kmeans_1
29	CFTR	1.32E-06	2.415552251	kmeans_0	kmeans_1
30	SEMA6A-AS1	1.32E-06	2.384530533	kmeans_0	kmeans_1
31	IGFBP6	1.40E-06	2.309030869	kmeans_0	kmeans_1
32	SYT6	1.70E-06	2.707106569	kmeans_0	kmeans_1
33	MGST2	1.70E-06	2.299323203	kmeans_0	kmeans_1
34	TPD52L1	1.71E-06	1.640715386	kmeans_0	kmeans_1
35	FAM162B	2.01E-06	2.180937179	kmeans_0	kmeans_1
36	LGI2	2.65E-06	2.238939571	kmeans_0	kmeans_1
4	LAMA3	3.96E-06	2.754784615	kmeans_1	kmeans_0
37	MARCH1	4.12E-06	2.293059679	kmeans_0	kmeans_1
38	NMRK2	5.34E-06	2.220313344	kmeans_0	kmeans_1
39	RRBP1	6.70E-06	1.567168184	kmeans_0	kmeans_1
40	RSPO3	6.97E-06	2.476198188	kmeans_0	kmeans_1
41	PLA2G16	8.00E-06	1.550764675	kmeans_0	kmeans_1
42	SOX6	1.17E-05	1.689531323	kmeans_0	kmeans_1
43	CA2	1.19E-05	2.469182556	kmeans_0	kmeans_1
44	BEX5	1.53E-05	2.090303289	kmeans_0	kmeans_1
45	NBPF20	1.54E-05	1.518949705	kmeans_0	kmeans_1
46	MYLIP	1.55E-05	2.248007116	kmeans_0	kmeans_1
47	ANKRD20A4	1.58E-05	2.042920921	kmeans_0	kmeans_1
